"Time Period","Activities","Total Distance","Average Distance","Max Distance","Total Activity Time","Moving Time","Climbing Time","Activity Calories","Total Ascent","Avg Ascent","Max Ascent","Total Descent","Avg Descent","Max Descent","Average Speed","Max Speed","Average Heart Rate","Max Heart Rate","Average Bike Cadence","Max Bike Cadence","Average Power","Max Power"
"2026","130","2,459.38 mi","18.92 mi","100.07 mi","312:38:07 h:m:s","274:26:54 h:m:s","--","126,164","208,973 ft","1,786 ft","8,081 ft","210,559 ft","1,800 ft","8,081 ft","7.9 mph","50.3 mph","133 bpm","215 bpm","72 rpm","110 rpm","105 W","353 W"
"2025","142","2,966.94 mi","20.89 mi","70.31 mi","345:40:40 h:m:s","305:45:21 h:m:s","--","154,086","194,104 ft","1,386 ft","4,029 ft","193,396 ft","1,381 ft","3,960 ft","8.6 mph","34.6 mph","137 bpm","187 bpm","55 rpm","120 rpm","43 W","146 W"
"2024","132","2,093.49 mi","16.23 mi","42.72 mi","209:16:08 h:m:s","196:39:39 h:m:s","--","91,073","91,161 ft","786 ft","3,297 ft","82,743 ft","713 ft","3,212 ft","10.0 mph","41.8 mph","108 bpm","193 bpm","71 rpm","121 rpm","74 W","506 W"
"2023","142","1,966.62 mi","13.85 mi","46.52 mi","229:49:56 h:m:s","203:27:28 h:m:s","--","95,078","89,923 ft","638 ft","5,030 ft","81,422 ft","577 ft","4,596 ft","8.6 mph","100.4 mph","94 bpm","195 bpm","74 rpm","118 rpm","91 W","581 W"
"2022","143","2,218.35 mi","15.51 mi","43.20 mi","247:29:10 h:m:s","220:44:16 h:m:s","--","109,324","102,281 ft","715 ft","2,651 ft","98,283 ft","806 ft","2,631 ft","9.0 mph","37.8 mph","106 bpm","203 bpm","81 rpm","143 rpm","127 W","651 W"
"2021","154","2,189.29 mi","14.22 mi","39.22 mi","223:40:43 h:m:s","196:52:07 h:m:s","--","103,919","136,680 ft","888 ft","5,344 ft","82,992 ft","580 ft","5,328 ft","9.8 mph","53.9 mph","129 bpm","193 bpm","84 rpm","144 rpm","170 W","868 W"
"2020","160","2,486.26 mi","15.54 mi","102.85 mi","244:18:56 h:m:s","215:19:06 h:m:s","--","112,769","113,931 ft","726 ft","3,343 ft","93,273 ft","594 ft","3,320 ft","10.2 mph","54.7 mph","120 bpm","194 bpm","62 rpm","134 rpm","166 W","675 W"
"2019","76","981.62 mi","12.92 mi","44.39 mi","101:08:30 h:m:s","88:07:07 h:m:s","--","70,918","39,628 ft","521 ft","2,228 ft","39,772 ft","523 ft","2,297 ft","9.7 mph","52.8 mph","144 bpm","199 bpm","--","--","--","--"
"2018","9","49.77 mi","5.53 mi","15.12 mi","8:47:13 h:m:s","6:47:03 h:m:s","--","6,005","3,114 ft","346 ft","984 ft","3,350 ft","372 ft","981 ft","5.7 mph","44.6 mph","150 bpm","190 bpm","--","--","--","--"
"Summary","1,088","17,411.72 mi","14.85 mi","102.85 mi","1922:49:24 h:m:s","17,060,781 h:m:s","--","869,336","979,795 ft","866 ft","8,081 ft","885,790 ft","816 ft","8,081 ft","8.8 mph","100.4 mph","125 bpm","215 bpm","71 rpm","144 rpm","111 W","868 W"
